code,extended_name,rel_city_code,is_airport,state_code,rel_country_code,rel_region_code,city_name
jlp,juan les pins/fr,jlp,y,,fr,europ,juan les pins
jlr,jabalpur/in,jlr,y,,in,asia,jabalpur
jls,jales/sp/br,jls,y,sp,br,samer,jales
jlx,los angeles/ca/us:union stn hp,lax,y,ca,us,namer,los angeles
jma,houston/tx/us:mariot hpt,hou,y,tx,us,namer,houston
jmb,jamba/ao,jmb,y,,ao,afric,jamba
jmc,sausalito/ca/us:marin county,jmc,y,ca,us,namer,sausalito
jmd,dallas/tx/us:market center hpt,dfw,y,tx,us,namer,dallas
jmh,schaumburg/il/us:marriott hpt,jmh,y,il,us,namer,schaumburg
jmk,mykonos/gr:mikonos,jmk,y,,gr,europ,mykonos
jmm,malmo/se:malmo harbour hpt,mma,y,,se,europ,malmo
jmn,mankato/mn/us:mankato mnpl hpt,mkt,y,mn,us,namer,mankato
jmo,jomsom/np,jmo,y,,np,asia,jomsom
jms,jamestown/nd/us,jms,y,nd,us,namer,jamestown
jmu,jiamusi/cn,jmu,y,,cn,asia,jiamusi
jmy,freetown/sl:mammy yoko hpt,fna,y,,sl,afric,freetown
jna,januaria/mg/br,jna,y,mg,br,samer,januaria
jnb,johannesburg/za:o.r. tambo int,jnb,y,,za,afric,johannesburg
jng,jining/cn,jng,y,,cn,asia,jining
jnh,dallas/tx/us:north park hpt,dfw,y,tx,us,namer,dallas
jni,junin/ba/ar,jni,y,ba,ar,samer,junin
jnn,nanortalik/gl,jnn,y,,gl,europ,nanortalik
jnp,newport beach/ca/us:heliport,jnp,y,ca,us,namer,newport beach
jns,narsaq/gl:heliport,jns,y,,gl,europ,narsaq
jnu,juneau/ak/us:juneau intl,jnu,y,ak,us,namer,juneau
jnx,naxos/gr:apt,jnx,y,,gr,europ,naxos
jnz,jinzhou/cn,jnz,y,,cn,asia,jinzhou
joc,stana laguna/ca/us:hpt,sna,y,ca,us,namer,stana laguna
joe,joensuu/fi,joe,y,,fi,europ,joensuu
jog,yogyakarta/id:adisutjipto,jog,y,,id,seasi,yogyakarta
joh,port saint johns/za,joh,y,,za,afric,port saint johns
joi,joinville/sc/br:cubatao,joi,y,sc,br,samer,joinville
jok,joshkar ola/ru,jok,y,,ru,euras,joshkar ola
jol,jolo/ph,jol,y,,ph,pacif,jolo
jom,njombe/tz,jom,y,,tz,afric,njombe
jon,johnston island/um,jon,y,,um,pacif,johnston island
jop,josephstaal/pg,jop,y,,pg,austl,josephstaal
jor,orange/ca/us:the city heliport,jor,y,ca,us,namer,orange
jos,jos/ng,jos,y,,ng,afric,jos
jot,joliet/il/us:municipal,jot,y,il,us,namer,joliet
jpa,joao pessoa/pb/br:castro pinto,jpa,y,pb,br,samer,joao pessoa
jpd,pasadena/ca/us:heliport,jpd,y,ca,us,namer,pasadena
jpn,washington/dc/us:pentagon army,was,y,dc,us,namer,washington
jpr,ji parana/ro/br,jpr,y,ro,br,samer,ji parana
jpt,houston/tx/us:park ten hpt,hou,y,tx,us,namer,houston
jpu,paris/fr:la defense hpt,par,y,,fr,europ,paris
jqa,qaarsut/gl,jqa,y,,gl,europ,qaarsut
jqe,jaque/pa,jqe,y,,pa,camer,jaque
jra,new york/ny/us:west 30th hpt,nyc,y,ny,us,namer,new york
jrb,new york/ny/us:down manh hpt,nyc,y,ny,us,namer,new york
jrc,rochester/mn/us:mnpl hpt,rst,y,mn,us,namer,rochester
jrd,riverside/ca/us:heliport,ral,y,ca,us,namer,riverside
jre,new york/ny/us:east 60th hpt,nyc,y,ny,us,namer,new york
jrh,jorhat/in:rowriah,jrh,y,,in,asia,jorhat
jrk,arsuk/gl,jrk,y,,gl,europ,arsuk
jrn,juruena/mt/br,jrn,y,mt,br,samer,juruena
jro,kilimanjaro/tz,jro,y,,tz,afric,kilimanjaro
jrs,jerusalem/il,jrs,y,,il,meast,jerusalem
jsa,jaisalmer/in,jsa,y,,in,asia,jaisalmer
jsd,stratford/ct/us:sikorsky hpt,jsd,y,ct,us,namer,stratford
jsg,san rafael/ca/us:heliport,srf,y,ca,us,namer,san rafael
jsh,sitia/gr,jsh,y,,gr,europ,sitia
jsi,skiathos/gr,jsi,y,,gr,europ,skiathos
jsk,saint cloud/mn/us:mncpl hpt,stc,y,mn,us,namer,saint cloud
jsl,atlantic cty/nj/us:steel pier,aiy,y,nj,us,namer,atlantic cty
jsm,jose d san martin/cb/ar,jsm,y,cb,ar,samer,jose d san martin
jsn,los angeles/ca/us:she oaks hpt,lax,y,ca,us,namer,los angeles
jso,sodertalje/se:heliport,jso,y,,se,europ,sodertalje
jsp,jeju/kr:seogwipo hpt,cju,y,,kr,asia,jeju
jsr,jessore/bd,jsr,y,,bd,asia,jessore
jss,spetsai island/gr,jss,y,,gr,europ,spetsai island
jst,johnstown/pa/us:cambria county,jst,y,pa,us,namer,johnstown
jsu,maniitsoq/gl:heliport,jsu,y,,gl,europ,maniitsoq
jsy,syros island/gr,jsy,y,,gr,europ,syros island
jti,jatai/go/br:jatai,jti,y,go,br,samer,jatai
jto,thousand oaks/ca/us:heliport,jto,y,ca,us,namer,thousand oaks
jtr,thira/gr:santorini,jtr,y,,gr,europ,thira
jty,astypalea island/gr,jty,y,,gr,europ,astypalea island
jua,juara/mt/br,jua,y,mt,br,samer,juara
jub,juba/sd,jub,y,,sd,afric,juba
juc,los angeles/ca/us:univ hpt,lax,y,ca,us,namer,los angeles
jui,juist/de,jui,y,,de,europ,juist
juj,jujuy/pj/ar:el cadillal,juj,y,pj,ar,samer,jujuy
jul,juliaca/pe,jul,y,,pe,samer,juliaca
jum,jumla/np,jum,y,,np,asia,jumla
jun,jundah/ql/au,jun,y,ql,au,austl,jundah
juo,jurado/co,juo,y,,co,samer,jurado
jup,upland/ca/us:cable hpt,ccb,y,ca,us,namer,upland
jur,jurien bay/wa/au,jur,y,wa,au,austl,jurien bay
jut,juticalpa/hn,jut,y,,hn,camer,juticalpa
juv,upernavik/gl:heliport,juv,y,,gl,europ,upernavik
juz,juzhou/cn,juz,y,,cn,asia,juzhou
jva,ankavandra/mg,jva,y,,mg,afric,ankavandra
jvi,manville/nj/us:kupper,jvi,y,nj,us,namer,manville
jvl,janesville/wi/us:rock county,jvl,y,wi,us,namer,janesville
jwa,jwaneng/bw,jwa,y,,bw,afric,jwaneng
jwc,los angeles/ca/us:warner bus,lax,y,ca,us,namer,los angeles
