CODE,TICKETING_NAME,TELETICKETING_NAME,EXTENDED_NAME,REL_CITY_CODE,IS_AIRPORT,STATE_CODE,REL_COUNTRY_CODE,REL_REGION_CODE,REL_CONTINENT_CODE,REL_TIME_ZONE_GRP,LONGITUDE,LATITUDE,NUMERIC_CODE,IS_COMMERCIAL,CITY_NAME
ZNM,HERTEN,HERTEN,HERTEN/DE:OFF-,ZNM,N,,DE,EUROP,ITC2,DE040,,,,N,HERTEN
ZNN,HILDEN,HILDEN,HILDEN/DE:OFF-,ZNN,N,,DE,EUROP,ITC2,DE040,,,,N,HILDEN
ZNO,HILDESHEIM,HILDESHEIM,HILDESHEIM/DE:OFF-,ZNO,N,,DE,EUROP,ITC2,DE040,,,,N,HILDESHEIM
ZNP,HUERTH,HUERTH,HUERTH/DE:OFF-,ZNP,N,,DE,EUROP,ITC2,DE040,,,,N,HUERTH
ZNQ,INGOLSTADT RAIL,INGOLSTADT RAIL,INGOLSTADT/DE:INGOLSTADT RAIL,ZNQ,Y,,DE,EUROP,ITC2,DE040,11.45,48.77,,Y,INGOLSTADT
ZNR,ISERLOHN,ISERLOHN,ISERLOHN/DE:OFF-,ZNR,N,,DE,EUROP,ITC2,DE040,,,,N,ISERLOHN
ZNS,KEMPTEN,KEMPTEN,KEMPTEN/DE:OFF-,ZNS,N,,DE,EUROP,ITC2,DE040,,,,N,KEMPTEN
ZNT,KERPEN,KERPEN,KERPEN/DE:OFF-,ZNT,N,,DE,EUROP,ITC2,DE040,,,,N,KERPEN
ZNU,NAMU,NAMU,NAMU/BC/CA,ZNU,Y,BC,CA,NAMER,ITC1,CA031,-127.9,51.85,5852,N,NAMU
ZNV,KOBLENZ,KOBLENZ,KOBLENZ/DE:KOBLENZ,ZNV,Y,,DE,EUROP,ITC2,DE040,8.567,50.03,,Y,KOBLENZ
ZNW,LIMBURG RAIL,LIMBURG RAIL,LIMBURG/DE:LIMBURG RAIL,ZNW,Y,,DE,EUROP,ITC2,DE040,8.05,50.38,,Y,LIMBURG
ZNX,LAGENFELD,LAGENFELD,LAGENFELD/DE:OFF-,ZNX,N,,DE,EUROP,ITC2,DE040,,,,N,LAGENFELD
