Export data from the tables of Geonames:
alternateName	alternateName	geonameid	name	latitude	longitude	country	fcode	population	timezone	alternatenames
KBL	OAKB	1454002	Kabul International Airport	34.5658500	69.2123300	AF	AIRP	0	Asia/Kabul	Aeroport Kabul,Aeroport international de Kaboul,Aeroporto Internacional de Cabul,Aeroporto Internacional de Kabul,Aeropuerto Internacional de Kabul,Aéroport international de Kaboul,Bandar Udara Antarabangsa Kabul,Flughafen Kabul,KBL,Kabul,Kabul International,Kabul International Airport,Kabul internasjonale lufthavn,Kabuli nemzetkoezi repueloter,Kabuli nemzetközi repülőtér,Kabulin kansainvaelinen lentoasema,Kabulin kansainvälinen lentoasema,Khojarawas,Khojarawāš,Lapangan Terbang Antarabangsa Kabul,Luchthaven Kabul,OAKB,Port lotniczy Kabul,San bay quoc te Kabul,Sân bay quốc tế Kabul,ka bu er guo ji ji chang,kaburu guo ji kong gang,mydan hwayy kabl,Кабул,د كابل هوايي ډګر,فرودگاه بین‌المللی کابل,میدانٔ هوائیٔ کابل,カーブル国際空港,喀布尔国际机场
FAH	OAFR	1454265	Farah Airport	32.3656600	62.1660800	AF	AIRP	0	Asia/Kabul	FAH,Farah Airport,OAFR,mydan hwayy frah,میدانٔ هوائئ فراه
YAP	PTYA	1558881	Yap International Airport	9.4999500	138.0859500	FM	AIRP	0	Pacific/Pohnpei	PTYA,YAP,Yap Airport
PRH	VTCP	1595442	Phrae	18.1333300	100.1666700	TH	AIRP	0	Asia/Bangkok	PRH,VTCP
PAN	VTSK	1595604	Pattani	6.7833300	101.1500000	TH	AIRP	0	Asia/Bangkok	PAN,VTSK
NNT	VTCN	1595756	Nan	18.8000000	100.7833300	TH	AIRP	0	Asia/Bangkok	NNT,VTCN
LOE	VTUL	1596057	Loei Airport	17.4413700	101.7227000	TH	AIRP	0	Asia/Bangkok	LOE,Loei,Loei Airport,VTUL
KKC	VTUK	1596352	Khon Kaen	16.4666700	102.7833300	TH	AIRP	0	Asia/Bangkok	KKC,VTUK
HDY	VTSS	1596820	Tha Akatsayan Hat Yai	6.9310000	100.3939500	TH	AIRP	0	Asia/Bangkok	HDY,Hat Yai Intl,Tha Akatsayan Hat Yai,VTSS,ท่าอากาศยานหาดใหญ่
UBP	VTUU	1605243	Ubon Ratchathani Airport	15.2512800	104.8702300	TH	AIRP	0	Asia/Bangkok	Sanam Bin Ubon Ratchathani,UBP,Ubon Ratchathani Airport,VTUU
SGZ	VTSH	1606149	Sanam Bin Songkhla	7.1865600	100.6080300	TH	AIRP	0	Asia/Bangkok	SGZ,Sanam Bin Songkhla,Singora,Songkhla,Songkhla Airfield,VTSH,สนามบินสงขลา
UTH	VTUD	1611284	Sanam Bin Changwat Udon Thani	17.3864400	102.7882500	TH	AIRP	0	Asia/Bangkok	UTH,VTUD
DMK	VTBD	1619461	Don Mueang International Airport	13.9125800	100.6067500	TH	AIRP	0	Asia/Bangkok	Bandar Udara Internasional Bangkok,Bandara Internasional Bangkok,Bangkok International Airport,DMK,Don Muang Air Force Base,Don Muang Airport,Don Muang International Airport,Don Muangin kansainvaelinen lentoasema,Don Muangin kansainvälinen lentoasema,Don Mueang International Airport,Flughafen Bangkok-Don Muang,Internationale Luchthaven Don Muang,Lapangan Terbang Antarabangsa Bangkok,Port lotniczy Bangkok-Don Muang,San bay quoc te Bangkok,Sân bay quốc tế Bangkok,Tha Akatsayan Don Muang,VTBD,donmeuang gugjegonghang,donmuan kong gang,man gu guo ji ji chang,tha xakasyan dxnmeuxng,ท่าอากาศยานดอนเมือง,ドンムアン空港,曼谷國際機場,돈므앙 국제공항
ZAM	RPMZ	1679433	Zamboanga	6.9243000	122.0618000	PH	AIRP	0	Asia/Manila	Moret Airfield,RPMZ,ZAM,Zamboanga International
VRC	RPUV	1679803	Virac Airstrip	13.5777000	124.2058000	PH	AIRP	0	Asia/Manila	RPUV,VRC,Virac,Virac Airstrip
VGN	RPUQ	1679982	Vigan	17.5500000	120.3500000	PH	AIRP	0	Asia/Manila	RPUQ,VGN
TAG	RPVT	1684498	Tagbilaran Airfield	9.6657000	123.8533000	PH	AIRP	0	Asia/Manila	RPVT,TAG,Tagbilaran,Tagbilaran Airfield
PPS	RPVP	1692686	Puerto Princesa	9.7500000	118.7500000	PH	AIRP	0	Asia/Manila	PPS,RPVP
MRQ	RPUW	1700904	Marinduque Airport	13.3595000	121.8263000	PH	AIRP	0	Asia/Manila	MRQ,Marinduque,Marinduque Airport,RPUW
MNL	RPLL	1701661	Ninoy Aquino International Airport	14.5049900	121.0044500	PH	AIRP	0	Asia/Manila	MNL,Manila International Airport,RPLL
KLO	RPVK	1709634	Kalibo Airport	11.6863600	122.3811700	PH	AIRP	0	Asia/Manila	KLO,RPVK
DTE	RPUD	1716288	Daet	14.1333300	122.9666700	PH	AIRP	0	Asia/Manila	DTE,RPUD
CRM	RPVF	1717932	Catarman Airfield	12.5041000	124.6375000	PH	AIRP	0	Asia/Manila	CRM,Catarman,Catarman Airfield,RPVF
CGY	RPML	1721081	Cagayan De Oro Airport	8.4183300	124.6094400	PH	AIRP	0	Asia/Manila	CGY,Cagayan de Oro,RPML
BXU	RPME	1727447	Bancasi Airport	8.9500000	125.4833300	PH	AIRP	0	Asia/Manila	BXU,Butuan Airport,RPME
BQA	RPUR	1728265	Baler Airport	15.7312000	121.5022000	PH	AIRP	0	Asia/Manila	BQA,Baler,Baler Airport,RPUR
KCH	WBGG	1734503	Kuching Airport	1.4847000	110.3469300	MY	AIRP	0	Asia/Kuching	KCH,WBGG
TGG	WMKN	1746155	Sultan Mahmud Airport	5.3838000	103.1042000	MY	AIRP	0	Asia/Kuala_Lumpur	Lapangan Terbang Sultan Mahmud,Seberang Takir Airfield,Sultan Mahmud Airport,TGG,WMKN
MKZ	WMKM	1755346	Melaka Aerodrome	2.2633600	102.2515500	MY	AIRP	0	Asia/Kuala_Lumpur	MKZ,Malacca Aerodome,WMKM
BKI	WBKK	1772439	Jesselton	5.9372100	116.0511800	MY	AIRP	0	Asia/Kuching	BKI,WBKK
BWN	WBSB	1820821	Brunei	4.9442000	114.9283500	BN	AIRP	0	Asia/Brunei	BWN,WBSB
PNH	VDPP	1821302	Phnom Penh International Airport	11.5465600	104.8441400	KH	AIRP	0	Asia/Phnom_Penh	Aeroport de Pochentong,Akas Yean Andarcheate Pouthichentong,Akas Yean Than Antaracheat Pouchentong,Akas Yéan Andârchéatĕ Poŭthĭchĕntŏng,Akas Yéan Than Ântarachéat Poŭchéntŏng,PNH,Phnom Penh,Phnom Penh International Airport,Pochentong International Airport,VDPP
QPG	WSAP	1880250	Paya Lebar Airport	1.3608300	103.9094400	SG	AIRP	0	Asia/Singapore	Paya Lebar,Paya Lebar Airport,QPG,Singapore Airport,Singapore International Airport,WSAP
SIN	WSSS	1880725	Singapore Changi Airport	1.3551400	103.9900600	SG	AIRP	0	Asia/Singapore	Changi,Flughafen Singapur,SIN,Singapore Changi,WSSS
