aga,,,y,y,n,y,,ma,afric,itc2,ma196,-9.55,30.38,30.324997,-9.413067,AGA,Agadir Agadir Almassira,MA
agb,muc,,y,n,n,n,,de,europ,itc2,de040,10.9,48.38,48.425158,10.931764,MUC,Munich Franz J Strauss,DE
agc,pit,,y,n,n,n,pa,us,namer,itc1,us105,-79.93,40.35,40.354403,-79.930169,PIT,Pittsburgh Intl,US
agd,,,y,y,n,n,,id,seasi,itc3,id063,133.9,-1.383,-1.383,133.9,AGD,Anggi,ID
age,,,y,y,n,n,,de,europ,itc2,de040,7.917,53.78,53.78,7.917,AGE,Wangerooge Flugplatz,DE
agf,,,y,y,n,y,,fr,europ,itc2,fr052,0.6,44.18,44.174721,0.590556,AGF,Agen La Garenne,FR
agg,,,y,y,n,n,,pg,austl,itc3,pg,144.1,-4.067,-4.067,144.1,AGG,Angoram,PG
agh,,,y,y,n,y,,se,europ,itc2,se095,12.85,56.3,56.3,12.85,AGH,Angelholm Angelholm Airport,SE
agi,,,y,y,n,n,,sr,samer,itc1,sr,-56.68,5.767,5.767,-56.68,AGI,Wageningen,SR
agj,,,y,y,n,n,,jp,asia,itc3,jp,127.2,26.83,26.83,127.2,AGJ,Aguni,JP
agk,,,y,y,n,n,,pg,austl,itc3,pg,143.8,-6.333,-6.333,143.8,AGK,Kagua,PG
agl,,,y,y,n,n,,pg,austl,itc3,pg,149.2,-9.333,-9.333,149.2,AGL,Wanigela,PG
agm,,,y,y,n,y,,gl,europ,itc1,gl055,-38,65.58,65.58,-38,AGM,Tasiilaq,GL
agn,,,y,y,n,y,ak,us,namer,itc1,us111,-134.6,57.5,57.5,-134.6,AGN,Angoon,US
ago,,,y,y,n,n,ar,us,namer,itc1,us107,-93.22,33.23,33.23,-93.22,AGO,Magnolia Municipal,US
agp,,,y,y,n,y,,es,europ,itc2,es045,-4.5,36.67,36.6749,-4.499106,AGP,Malaga,ES
agq,,,y,y,n,n,,gr,europ,itc2,gr058,21.38,38.6,38.602022,21.351208,AGQ,Agrinion,GR
agr,,,y,y,n,y,,in,asia,itc3,in,77.97,27.15,27.155831,77.960892,AGR,Agra Kheria,IN
ags,,,y,y,n,y,ga,us,namer,itc1,us105,-81.97,33.37,33.369944,-81.9645,AGS,Augusta Bush Field,US
agt,,,y,y,n,y,,py,samer,itc1,py093,-54.52,-25.52,-25.4555,-54.843592,AGT,Ciudad Del Este Alejo Garci,PY
agu,,,y,y,n,y,,mx,namer,itc1,mx168,-102.3,21.87,21.705558,-102.317858,AGU,Aguascalientes,MX
agv,,,y,y,n,y,,ve,samer,itc1,ve194,-69.23,9.55,9.553422,-69.237536,AGV,Acarigua,VE
agw,,,y,y,n,n,ql,au,austl,itc3,au131,142.2,-12.15,-12.15,142.2,AGW,Agnew,AU
agx,,,y,y,n,y,,in,asia,itc3,in,72.2,10.83,10.823656,72.176042,AGX,Agatti Island,IN
agy,,,y,y,n,n,wa,au,austl,itc3,au011,128.8,-16.35,-16.35,128.8,AGY,Argyle Downs,AU
agz,,,y,y,n,n,,za,afric,itc2,za,18.85,-29.05,-29.281767,18.813869,AGZ,Aggeneys,ZA
aha,oka,,y,n,n,n,,jp,asia,itc3,jp,127.7,26.2,26.2,127.7,OKA,Okinawa Naha,JP
ahb,,,y,y,n,y,,sa,meast,itc2,sa,42.5,18.22,18.240367,42.656625,AHB,Abha,SA
ahc,,,y,y,n,n,ca,us,namer,itc1,us110,-120.2,40.27,40.27,-120.2,AHC,Herlong Amedee Aaf,US
ahd,adm,,y,n,n,n,ok,us,namer,itc1,us107,-97.15,34.15,34.15,-97.15,ADM,Ardmore Municipal,US
ahe,,,y,y,n,y,,pf,pacif,itc3,pf087,-146.3,-14.43,-14.43,-146.3,AHE,Ahe,PF
ahf,,,y,y,n,n,ne,us,namer,itc1,us107,-99.9,40.3,40.3,-99.9,AHF,Arapahoe Municipal,US
ahh,,,y,y,n,n,wi,us,namer,itc1,us107,-92.37,45.28,45.28,-92.37,AHH,Amery Municipal,US
ahi,,,y,y,n,n,,id,seasi,itc3,id063,128.9,-3.333,-3.333,128.9,AHI,Amahai,ID
ahl,,,y,y,n,n,,gy,samer,itc1,gy,-59.32,2.483,2.483,-59.32,AHL,Aishalton,GY
ahm,,,y,y,n,n,or,us,namer,itc1,us110,-122.7,42.19,42.19,-122.7,AHM,NA,NA
ahn,,,y,y,n,n,ga,us,namer,itc1,us105,-83.33,33.95,33.948594,-83.326347,AHN,Athens,US
aho,,,y,y,n,y,,it,europ,itc2,it067,8.283,40.63,40.632133,8.290772,AHO,Alghero Fertilia,IT
ahs,,,y,y,n,y,,hn,camer,itc1,hn,-84.42,15.43,15.43,-84.42,AHS,Ahuas,HN
aht,,,y,y,n,n,ak,us,namer,itc1,us112,179,51.5,51.5,179,AHT,Amchitka,US
ahu,,,y,y,n,y,,ma,afric,itc2,ma196,-3.833,35.18,35.177103,-3.839525,AHU,Al Hoceima Charif Al Idriss,MA
ahy,,,y,y,n,n,,mg,afric,itc2,mg,45.53,-20.02,-20.02,45.53,AHY,Ambatolahy,MG
ahz,,,y,y,n,n,,fr,europ,itc2,fr052,6.083,45.08,45.08,6.083,AHZ,Alpe D Huez,FR
aia,,,y,y,n,y,ne,us,namer,itc1,us108,-102.8,42.07,42.07,-102.8,AIA,Alliance,US
aib,,,y,y,n,n,ak,us,namer,itc1,us111,-132.4,56.23,56.23,-132.4,AIB,Anita Bay,US
aic,,,y,y,n,n,,mh,pacif,itc3,mh075,171.2,7.1,7.1,171.2,AIC,Airok,MH
aid,,,y,y,n,n,in,us,namer,itc1,us105,-85.68,40.17,40.17,-85.68,AID,Anderson Municipal,US
aie,,,y,y,n,n,,pg,austl,itc3,pg,144.7,-5.133,-5.133,144.7,AIE,Aiome,PG
aif,,,y,y,n,n,sp,br,samer,itc1,br015,-50.42,-22.67,-22.638564,-50.455914,AIF,Assis,BR
aig,,,y,y,n,n,,cf,afric,itc2,cf,23.25,6.517,6.517,23.25,AIG,Yalinga,CF
aih,,,n,y,n,n,,pg,austl,itc3,pg,141.3,-7.349,-7.349,141.3,AIH,Aiambak,PG
aii,,,y,y,n,n,,dj,afric,itc2,dj,42.72,11.15,11.15,42.72,AII,Alisabieh,DJ
aik,,,y,y,n,n,sc,us,namer,itc1,us105,-81.68,33.65,33.65,-81.68,AIK,Aiken Municipal,US
ail,,,y,y,n,n,,pa,camer,itc1,pa,-78.02,9.233,9.233,-78.02,AIL,Ailigandi,PA
aim,,,y,y,n,n,,mh,pacif,itc3,mh075,170,10.2,10.2,170,AIM,Ailuk Island,MH
ain,,,y,y,n,y,ak,us,namer,itc1,us111,-160,70.63,70.613378,-159.86035,AIN,Wainwright,US
aio,,,y,y,n,n,ia,us,namer,itc1,us107,-95.02,41.4,41.4,-95.02,AIO,Atlantic Municipal,US
aip,,,y,y,n,n,,mh,pacif,itc3,mh075,168.8,7.267,7.267,168.8,AIP,Ailinglapalap Isl,MH
air,,,y,y,n,n,mt,br,samer,itc1,br018,-56.45,-14.42,-14.42,-56.45,AIR,Aripuana,BR
ais,,,y,y,n,n,,ki,austl,itc3,ki069,176.8,-2.633,-2.633,176.8,AIS,Arorae Island,KI
ait,,,y,y,n,y,,ck,austl,itc3,ck,-159.8,-18.85,-18.830922,-159.764233,AIT,Aitutaki,CK
aiu,,,y,y,n,y,,ck,austl,itc3,ck,-158.1,-20.03,-20.03,-158.1,AIU,Atiu Island,CK
aiv,,,y,y,n,n,al,us,namer,itc1,us107,-88.2,33.1,33.1,-88.2,AIV,Aliceville George Downer,US
aiw,,,y,y,n,n,,na,afric,itc2,na004,17.58,-27.98,-27.98,17.58,AIW,Ai Ais,NA
